215,286
247,287
200,304
251,305
216,350
248,351
223,399
255,601
240,1025
128,1040
129,1041
130,1042
131,1043
132,1044
133,1045
134,1046
135,1047
136,1048
137,1049
138,1050
139,1051
140,1052
141,1053
142,1054
143,1055
144,1056
145,1057
146,1058
147,1059
148,1060
149,1061
150,1062
151,1063
152,1064
153,1065
154,1066
155,1067
156,1068
157,1069
158,1070
159,1071
160,1072
161,1073
162,1074
163,1075
164,1076
165,1077
166,1078
167,1079
168,1080
169,1081
170,1082
171,1083
172,1084
173,1085
174,1086
175,1087
224,1088
225,1089
226,1090
227,1091
228,1092
229,1093
230,1094
231,1095
232,1096
233,1097
234,1098
235,1099
236,1100
237,1101
238,1102
239,1103
241,1105
